code,error,action
1,CMU_1_PCB_TEMP>40,Slow
2,CMU_2_PCB_TEMP>40,Slow
3,CMU_3_PCB_TEMP40,Slow
4,CMU_4_PCB_TEMP>40,slow
5,CMU_5_PCB_TEMP>40,slow
6,CMU_1_PCB_TEMP>50,"Slow,Open_BMS_C"
7,CMU_2_PCB_TEMP>50,"Slow,Open_BMS_C"
8,CMU_3_PCB_TEMP>50,"Slow,Open_BMS_C"
9,CMU_4_PCB_TEMP>50,"Slow,Open_BMS_C"
10,CMU_5_PCB_TEMP>50,"Slow,Open_BMS_C"
11,CMU_1_CELL_TEMP>40,Slow
12,CMU_2_CELL_TEMP>40,Slow
13,CMU_3_CELL_TEMP>40,Slow
14,CMU_4_CELL_TEMP>40,Slow
15,CMU_5_CELL_TEMP>40,Slow
16,CMU_1_CELL_TEMP>50,"Slow,Open_BMS_C"
17,CMU_2_CELL_TEMP>50,"Slow,Open_BMS_C"
18,CMU_3_CELL_TEMP>50,"Slow,Open_BMS_C"
19,CMU_4_CELL_TEMP>50,"Slow,Open_BMS_C"
20,CMU_5_CELL_TEMP>50,"Slow,Open_BMS_C"
21,CMU_1_CELL_0_VOLT<3,"Slow,Open_BMS_C"
22,CMU_1_CELL_1_VOLT<3,"Slow,Open_BMS_C"
23,CMU_1_CELL_2_VOLT<3,"Slow,Open_BMS_C"
24,CMU_1_CELL_3_VOLT<3,"Slow,Open_BMS_C"
25,CMU_1_CELL_4_VOLT<3,"Slow,Open_BMS_C"
26,CMU_1_CELL_5_VOLT<3,"Slow,Open_BMS_C"
27,CMU_1_CELL_6_VOLT<3,"Slow,Open_BMS_C"
28,CMU_1_CELL_7_VOLT<3,"Slow,Open_BMS_C"
29,CMU_1_CELL_0_VOLT>4,"Slow,Open_BMS_C"
30,CMU_1_CELL_1_VOLT>4,"Slow,Open_BMS_C"
31,CMU_1_CELL_2_VOLT>4,"Slow,Open_BMS_C"
32,CMU_1_CELL_3_VOLT>4,"Slow,Open_BMS_C"
33,CMU_1_CELL_4_VOLT>4,"Slow,Open_BMS_C"
34,CMU_1_CELL_5_VOLT>4,"Slow,Open_BMS_C"
35,CMU_1_CELL_6_VOLT>4,"Slow,Open_BMS_C"
36,CMU_1_CELL_7_VOLT>4,"Slow,Open_BMS_C"
37,CMU_2_CELL_0_VOLT<3,"Slow,Open_BMS_C"
38,CMU_2_CELL_1_VOLT<3,"Slow,Open_BMS_C"
39,CMU_2_CELL_2_VOLT<3,"Slow,Open_BMS_C"
40,CMU_2_CELL_3_VOLT<3,"Slow,Open_BMS_C"
41,CMU_2_CELL_4_VOLT<3,"Slow,Open_BMS_C"
42,CMU_2_CELL_5_VOLT<3,"Slow,Open_BMS_C"
43,CMU_2_CELL_6_VOLT<3,"Slow,Open_BMS_C"
44,CMU_2_CELL_7_VOLT<3,"Slow,Open_BMS_C"
45,CMU_2_CELL_0_VOLT>4,"Slow,Open_BMS_C"
46,CMU_2_CELL_1_VOLT>4,"Slow,Open_BMS_C"
47,CMU_2_CELL_2_VOLT>4,"Slow,Open_BMS_C"
48,CMU_2_CELL_3_VOLT>4,"Slow,Open_BMS_C"
49,CMU_2_CELL_4_VOLT>4,"Slow,Open_BMS_C"
50,CMU_2_CELL_5_VOLT>4,"Slow,Open_BMS_C"
51,CMU_2_CELL_6_VOLT>4,"Slow,Open_BMS_C"
52,CMU_2_CELL_7_VOLT>4,"Slow,Open_BMS_C"
53,CMU_3_CELL_0_VOLT<3,"Slow,Open_BMS_C"
54,CMU_3_CELL_1_VOLT<3,"Slow,Open_BMS_C"
55,CMU_3_CELL_2_VOLT<3,"Slow,Open_BMS_C"
56,CMU_3_CELL_3_VOLT<3,"Slow,Open_BMS_C"
57,CMU_3_CELL_4_VOLT<3,"Slow,Open_BMS_C"
58,CMU_3_CELL_5_VOLT<3,"Slow,Open_BMS_C"
59,CMU_3_CELL_6_VOLT<3,"Slow,Open_BMS_C"
60,CMU_3_CELL_7_VOLT<3,"Slow,Open_BMS_C"
61,CMU_3_CELL_0_VOLT>4,"Slow,Open_BMS_C"
62,CMU_3_CELL_1_VOLT>4,"Slow,Open_BMS_C"
63,CMU_3_CELL_2_VOLT>4,"Slow,Open_BMS_C"
64,CMU_3_CELL_3_VOLT>4,"Slow,Open_BMS_C"
65,CMU_3_CELL_4_VOLT>4,"Slow,Open_BMS_C"
66,CMU_3_CELL_5_VOLT>4,"Slow,Open_BMS_C"
67,CMU_3_CELL_6_VOLT>4,"Slow,Open_BMS_C"
68,CMU_3_CELL_7_VOLT>4,"Slow,Open_BMS_C"
69,CMU_4_CELL_0_VOLT<3,"Slow,Open_BMS_C"
70,CMU_4_CELL_1_VOLT<3,"Slow,Open_BMS_C"
71,CMU_4_CELL_2_VOLT<3,"Slow,Open_BMS_C"
72,CMU_4_CELL_3_VOLT<3,"Slow,Open_BMS_C"
73,CMU_4_CELL_4_VOLT<3,"Slow,Open_BMS_C"
74,CMU_4_CELL_5_VOLT<3,"Slow,Open_BMS_C"
75,CMU_4_CELL_6_VOLT<3,"Slow,Open_BMS_C"
76,CMU_4_CELL_7_VOLT<3,"Slow,Open_BMS_C"
77,CMU_4_CELL_0_VOLT>4,"Slow,Open_BMS_C"
78,CMU_4_CELL_1_VOLT>4,"Slow,Open_BMS_C"
79,CMU_4_CELL_2_VOLT>4,"Slow,Open_BMS_C"
80,CMU_4_CELL_3_VOLT>4,"Slow,Open_BMS_C"
81,CMU_4_CELL_4_VOLT>4,"Slow,Open_BMS_C"
82,CMU_4_CELL_5_VOLT>4,"Slow,Open_BMS_C"
83,CMU_4_CELL_6_VOLT>4,"Slow,Open_BMS_C"
84,CMU_4_CELL_7_VOLT>4,"Slow,Open_BMS_C"
85,CMU_5_CELL_0_VOLT<3,"Slow,Open_BMS_C"
86,CMU_5_CELL_1_VOLT<3,"Slow,Open_BMS_C"
87,CMU_5_CELL_2_VOLT<3,"Slow,Open_BMS_C"
88,CMU_5_CELL_3_VOLT<3,"Slow,Open_BMS_C"
89,CMU_5_CELL_4_VOLT<3,"Slow,Open_BMS_C"
90,CMU_5_CELL_5_VOLT<3,"Slow,Open_BMS_C"
